[codex-fallback] 2026/06/18 23:51:57 listening on http://127.0.0.1:13100
[codex-fallback] 2026/06/18 23:51:57 tunnel upstream: http://127.0.0.1:13000
[codex-fallback] 2026/06/18 23:51:57 public upstream: https://www.sanmao.fun
[codex-fallback] 2026/06/18 23:51:57 GET /api/status (40ms)
[codex-fallback] 2026/06/18 23:51:57 GET /api/status (52ms)
[codex-fallback] 2026/06/18 23:52:05 POST /v1/responses (3.488s)
[codex-fallback] 2026/06/19 00:28:12 GET /api/status (7ms)
[codex-fallback] 2026/06/19 00:29:29 GET /v1/models (111ms)
[codex-fallback] 2026/06/19 00:29:40 stream copy ended via public: context canceled
[codex-fallback] 2026/06/19 00:29:40 POST /v1/responses (8.651s)
[codex-fallback] 2026/06/19 00:32:05 GET /api/status (0s)
[codex-fallback] 2026/06/19 00:32:05 GET /api/status (0s)
[codex-fallback] 2026/06/19 00:33:31 POST /v1/responses (4.943s)
[codex-fallback] 2026/06/19 00:36:43 GET /api/status (4ms)
[codex-fallback] 2026/06/19 00:36:43 GET /v1/models (284ms)
[codex-fallback] 2026/06/19 00:37:30 GET /v1/models (84ms)
[codex-fallback] 2026/06/19 00:37:30 GET /models (0s)
[codex-fallback] 2026/06/19 00:39:02 POST /v1/responses (327ms)
[codex-fallback] 2026/06/19 00:39:02 POST /v1/responses (213ms)
[codex-fallback] 2026/06/19 00:39:03 POST /v1/responses (207ms)
[codex-fallback] 2026/06/19 00:39:04 POST /v1/responses (180ms)
[codex-fallback] 2026/06/19 00:39:06 POST /v1/responses (205ms)
[codex-fallback] 2026/06/19 00:39:06 POST /v1/responses (208ms)
[codex-fallback] 2026/06/19 00:39:06 POST /v1/responses (177ms)
[codex-fallback] 2026/06/19 00:39:07 POST /v1/responses (193ms)
[codex-fallback] 2026/06/19 00:39:08 POST /v1/responses (199ms)
[codex-fallback] 2026/06/19 00:39:10 POST /v1/responses (196ms)
[codex-fallback] 2026/06/19 00:39:11 POST /v1/responses (166ms)
[codex-fallback] 2026/06/19 00:39:11 POST /v1/responses (207ms)
[codex-fallback] 2026/06/19 00:39:12 POST /v1/responses (206ms)
[codex-fallback] 2026/06/19 00:39:13 POST /v1/responses (216ms)
[codex-fallback] 2026/06/19 00:39:15 POST /v1/responses (167ms)
[codex-fallback] 2026/06/19 00:39:16 POST /v1/responses (171ms)
[codex-fallback] 2026/06/19 00:39:16 POST /v1/responses (167ms)
[codex-fallback] 2026/06/19 00:39:17 POST /v1/responses (187ms)
[codex-fallback] 2026/06/19 00:39:18 POST /v1/responses (206ms)
[codex-fallback] 2026/06/19 00:39:20 POST /v1/responses (207ms)
[codex-fallback] 2026/06/19 00:39:21 POST /v1/responses (179ms)
[codex-fallback] 2026/06/19 00:39:22 POST /v1/responses (198ms)
[codex-fallback] 2026/06/19 00:39:22 POST /v1/responses (200ms)
[codex-fallback] 2026/06/19 00:39:23 POST /v1/responses (196ms)
[codex-fallback] 2026/06/19 00:39:25 POST /v1/responses (177ms)
[codex-fallback] 2026/06/19 00:39:28 POST /v1/responses (212ms)
[codex-fallback] 2026/06/19 00:39:29 POST /v1/responses (206ms)
[codex-fallback] 2026/06/19 00:39:29 POST /v1/responses (188ms)
[codex-fallback] 2026/06/19 00:39:30 POST /v1/responses (178ms)
